case,family,seed,split,scale_group,units,periods,strategy,status,objective,bb_nodes,formal_lp_solved,probe_lp_solved,inference_time_sec,probe_time_sec,total_runtime_sec,time_repeats_sec,relative_gap,limit_type,lp_backend
uc_in_distribution_unit_commitment_u4_t4_seed51004,unit_commitment,51004,uc_in_distribution,train_scale,4,4,GNN图学习分支,最优,136.613917,85,88,0,0.037948249,0,3.016876,3.027222;3.0058385;3.016876,0,,SciPy-HiGHS
uc_in_distribution_unit_commitment_u4_t4_seed51004,unit_commitment,51004,uc_in_distribution,train_scale,4,4,强分支（专家参考）,最优,136.613917,75,78,354,0,15.492372,18.346229,18.346229;18.304282;18.385027,0,,SciPy-HiGHS
uc_in_distribution_unit_commitment_u5_t3_seed51005,unit_commitment,51005,uc_in_distribution,train_scale,5,3,最接近0.5分支（原规则）,最优,84.29013157,247,250,0,0,0,7.140712,7.089531;7.1708564;7.140712,0,,SciPy-HiGHS
uc_in_distribution_unit_commitment_u5_t3_seed51005,unit_commitment,51005,uc_in_distribution,train_scale,5,3,GNN图学习分支,最优,84.29013157,151,154,0,0.064525667,0,4.3333643,4.3459233;4.3333643;4.3248532,0,,SciPy-HiGHS
uc_in_distribution_unit_commitment_u5_t3_seed51005,unit_commitment,51005,uc_in_distribution,train_scale,5,3,强分支（专家参考）,最优,84.29013157,87,90,510,0,19.112013,21.895422,22.588611;21.87328;21.895422,0,,SciPy-HiGHS
uc_in_distribution_unit_commitment_u5_t4_seed51006,unit_commitment,51006,uc_in_distribution,train_scale,5,4,最接近0.5分支（原规则）,最优,126.5503022,515,518,0,0,0,28.004444,28.004444;28.01844;27.984121,0,,SciPy-HiGHS
uc_in_distribution_unit_commitment_u5_t4_seed51006,unit_commitment,51006,uc_in_distribution,train_scale,5,4,GNN图学习分支,最优,126.5503022,277,280,0,0.12274471,0,14.143376,14.199248;14.132801;14.143376,0,,SciPy-HiGHS
uc_in_distribution_unit_commitment_u5_t4_seed51006,unit_commitment,51006,uc_in_distribution,train_scale,5,4,强分支（专家参考）,达到时间上限,,89,92,556,0,39.740685,45.165837,45.165837;45.123169;45.244254,,达到时间上限,SciPy-HiGHS
uc_in_distribution_unit_commitment_u3_t5_seed51007,unit_commitment,51007,uc_in_distribution,train_scale,3,5,最接近0.5分支（原规则）,最优,77.03463014,159,162,0,0,0,5.5262753,5.5613645;5.5262753;5.5203983,0,,SciPy-HiGHS
uc_in_distribution_unit_commitment_u3_t5_seed51007,unit_commitment,51007,uc_in_distribution,train_scale,3,5,GNN图学习分支,最优,77.03463014,117,120,0,0.050130494,0,4.4336242,4.4399869;4.4219445;4.4336242,0,,SciPy-HiGHS
uc_in_distribution_unit_commitment_u3_t5_seed51007,unit_commitment,51007,uc_in_distribution,train_scale,3,5,强分支（专家参考）,最优,77.03463014,65,68,350,0,16.399586,19.053201,18.988193;19.069474;19.053201,0,,SciPy-HiGHS
uc_in_distribution_unit_commitment_u4_t5_seed51008,unit_commitment,51008,uc_in_distribution,train_scale,4,5,最接近0.5分支（原规则）,达到时间上限,213.589293,746,749,0,0,0,45.038799,45.045754;45.002877;45.038799,0.2230538493,达到时间上限,SciPy-HiGHS
uc_in_distribution_unit_commitment_u4_t5_seed51008,unit_commitment,51008,uc_in_distribution,train_scale,4,5,GNN图学习分支,最优,169.2860159,601,604,0,0.26669221,0,33.54612,33.54612;33.545615;33.638222,0,,SciPy-HiGHS
uc_in_distribution_unit_commitment_u4_t5_seed51008,unit_commitment,51008,uc_in_distribution,train_scale,4,5,强分支（专家参考）,达到时间上限,213.589293,41,44,462,0,42.209182,45.542528,45.542528;45.562256;45.508387,0.2396705267,达到时间上限,SciPy-HiGHS
